State Name,County,Census_Tract,Population,Median Age,Median Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Time spent commuting (minutes),"Number of Employed, age 16+",Unemployment Count,Number of persons age 25+ graduated high school
 Maryland, Baltimore city, 2603.02,6634.0,38.6,41280.0,19844.0,2238.0,33.7,6.1,,2488.0,404.0,1897.0
 Maryland, Baltimore city, 2607,2933.0,30.4,83050.0,33864.0,420.0,14.3,1.5,,1524.0,43.0,250.0
 Maryland, Baltimore city, 2609,3359.0,31.2,109618.0,64704.0,335.0,10.0,0.7,,2624.0,25.0,233.0
 Maryland, Baltimore city, 2610,2824.0,33.8,55221.0,26904.0,1077.0,38.1,2.9,,1305.0,82.0,410.0
 Maryland, Baltimore city, 2701.01,1638.0,39.5,76591.0,36213.0,281.0,17.2,4.9,,760.0,81.0,245.0
 Maryland, Baltimore city, 2719,3794.0,49.7,51938.0,34173.0,643.0,16.9,5.2,,1505.0,196.0,706.0
 Maryland, Baltimore city, 2720.03,6229.0,28.9,69016.0,31191.0,739.0,11.9,2.6,,2553.0,163.0,765.0
 Maryland, Baltimore city, 909,2691.0,30.7,22571.0,14508.0,842.0,31.3,8.3,,742.0,224.0,746.0
 Maryland, Baltimore city, 1001,2259.0,38.3,26350.0,14053.0,1082.0,47.9,4.1,,726.0,93.0,667.0
 Maryland, Baltimore city, 1501,2172.0,41.3,17371.0,18530.0,944.0,43.5,6.7,,628.0,145.0,592.0
 Maryland, Baltimore city, 1509,3371.0,38.2,56530.0,29165.0,636.0,18.9,3.6,,1722.0,122.0,594.0
 Maryland, Baltimore city, 2004,1519.0,30.0,30000.0,12891.0,595.0,39.2,8.3,,518.0,126.0,424.0
 Maryland, Baltimore city, 2005,2709.0,39.8,32992.0,16940.0,844.0,31.2,3.0,,914.0,82.0,383.0
 Maryland, Baltimore city, 2501.01,4116.0,38.4,57991.0,32418.0,557.0,13.5,1.7,,2244.0,72.0,1037.0
 Maryland, Baltimore city, 2506,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,,-666666666.0,0.0,0.0,0.0
 Maryland, Baltimore city, 2604.04,2061.0,35.2,45781.0,16836.0,530.0,25.7,2.8,,991.0,57.0,466.0
 Maryland, Baltimore city, 2701.02,3774.0,40.0,64922.0,28474.0,266.0,7.0,4.1,,1938.0,156.0,663.0
 Maryland, Baltimore city, 2705.01,4010.0,41.8,63509.0,34641.0,268.0,6.7,1.1,,1940.0,44.0,665.0
 Maryland, Baltimore city, 2708.01,4087.0,37.6,56670.0,30125.0,629.0,15.4,4.3,,2251.0,175.0,946.0
 Maryland, Baltimore city, 2717,4624.0,52.0,39432.0,24618.0,707.0,15.3,9.6,,1556.0,444.0,1224.0
 Maryland, Baltimore city, 2802,5122.0,45.6,59524.0,32264.0,836.0,16.3,5.4,,2190.0,276.0,811.0
 Maryland, Baltimore city, 2803.01,3912.0,29.4,44390.0,27215.0,690.0,17.6,1.8,,1939.0,70.0,739.0
 Maryland, Baltimore city, 1608.01,3052.0,40.5,44015.0,25584.0,203.0,6.7,6.4,,1384.0,196.0,736.0
 Maryland, Baltimore city, 1608.02,3368.0,33.5,42547.0,19156.0,605.0,18.0,4.5,,1304.0,151.0,740.0
 Maryland, Baltimore city, 603,1881.0,31.6,72132.0,35568.0,339.0,18.0,3.0,,1047.0,56.0,161.0
 Maryland, Baltimore city, 801.01,3869.0,35.1,66845.0,38210.0,572.0,14.8,2.8,,1863.0,108.0,795.0
 Maryland, Baltimore city, 803.02,2906.0,43.7,36700.0,22885.0,726.0,25.0,3.6,,1117.0,106.0,653.0
 Maryland, Baltimore city, 805,1410.0,41.1,30714.0,22861.0,254.0,18.0,6.3,4535.0,535.0,89.0,286.0
 Maryland, Baltimore city, 1205,2190.0,31.8,50375.0,41898.0,489.0,22.3,3.6,19360.0,1389.0,78.0,280.0
 Maryland, Baltimore city, 1303,2222.0,36.1,42642.0,23787.0,618.0,27.8,2.9,13075.0,842.0,64.0,541.0
 Maryland, Baltimore city, 1308.03,2443.0,36.6,56036.0,39087.0,202.0,8.3,2.0,,1523.0,50.0,224.0
 Maryland, Baltimore city, 1401,4455.0,47.5,57014.0,41492.0,681.0,15.3,6.7,,2118.0,300.0,370.0
 Maryland, Baltimore city, 1505,1477.0,42.6,32902.0,19625.0,528.0,35.7,6.4,,591.0,94.0,291.0
 Maryland, Baltimore city, 104,2834.0,33.2,122765.0,99038.0,106.0,3.7,3.0,,2059.0,85.0,165.0
 Maryland, Baltimore city, 202,1678.0,31.0,84489.0,49269.0,257.0,15.3,0.8,,1180.0,14.0,122.0
 Maryland, Baltimore city, 301,2386.0,34.0,19531.0,17982.0,1080.0,45.3,8.0,,768.0,192.0,494.0
 Maryland, Baltimore city, 302,2273.0,38.9,72386.0,58968.0,475.0,20.9,1.9,,1273.0,44.0,216.0
 Maryland, Baltimore city, 701,2966.0,24.5,43327.0,14397.0,1207.0,40.7,5.3,11965.0,825.0,157.0,526.0
 Maryland, Baltimore city, 2001,1824.0,35.3,30809.0,12778.0,664.0,36.4,4.6,,664.0,84.0,387.0
 Maryland, Baltimore city, 1603,968.0,51.0,14915.0,22281.0,444.0,45.9,2.2,,174.0,21.0,335.0
 Maryland, Baltimore city, 2008,2170.0,37.1,48922.0,22176.0,458.0,21.1,3.1,,989.0,67.0,353.0
 Maryland, Baltimore city, 2402,2746.0,36.3,132281.0,97200.0,62.0,2.3,1.1,,2033.0,31.0,109.0
 Maryland, Baltimore city, 2502.04,4312.0,19.7,16750.0,10275.0,2491.0,57.8,5.3,,908.0,230.0,787.0
 Maryland, Baltimore city, 2502.06,2250.0,36.1,65304.0,26736.0,307.0,13.6,2.4,,1062.0,55.0,397.0
 Maryland, Baltimore city, 2505,4252.0,36.0,37395.0,19263.0,1289.0,30.3,5.2,,1735.0,221.0,833.0
 Maryland, Baltimore city, 2601.01,5116.0,39.5,59219.0,32408.0,438.0,8.6,2.9,53040.0,2635.0,146.0,990.0
 Maryland, Baltimore city, 2603.01,4741.0,27.3,49005.0,19358.0,1561.0,32.9,3.7,,1903.0,175.0,928.0
 Maryland, Baltimore city, 2706,5170.0,36.2,71847.0,30193.0,351.0,6.8,8.6,,2790.0,444.0,950.0
 Maryland, Baltimore city, 101,3035.0,33.8,125417.0,67496.0,116.0,3.8,0.9,49285.0,2130.0,26.0,236.0
 Maryland, Baltimore city, 105,1888.0,31.3,128227.0,57829.0,136.0,7.2,0.0,,1247.0,0.0,100.0
 Maryland, Baltimore city, 702,3696.0,28.3,31292.0,16474.0,1575.0,42.6,8.5,,1263.0,316.0,722.0
 Maryland, Baltimore city, 703,900.0,41.9,36985.0,21494.0,236.0,26.2,8.8,,362.0,79.0,302.0
 Maryland, Baltimore city, 704,1601.0,30.9,24457.0,17842.0,571.0,35.7,7.1,,582.0,114.0,307.0
 Maryland, Baltimore city, 804,1263.0,40.6,32772.0,17576.0,485.0,38.4,8.9,,477.0,112.0,233.0
 Maryland, Baltimore city, 1301,2558.0,39.1,22464.0,26976.0,992.0,38.8,0.6,,1108.0,15.0,400.0
 Maryland, Baltimore city, 1302,2751.0,39.3,48175.0,33354.0,385.0,14.0,3.3,,1433.0,90.0,412.0
 Maryland, Baltimore city, 1308.06,1423.0,42.9,92885.0,50100.0,62.0,4.4,0.8,,811.0,12.0,247.0
 Maryland, Baltimore city, 2002,2072.0,49.7,27623.0,31696.0,709.0,34.2,5.4,,668.0,111.0,498.0
 Maryland, Baltimore city, 808,1583.0,18.6,53333.0,19845.0,473.0,29.9,3.6,,443.0,57.0,279.0
 Maryland, Baltimore city, 801.02,2159.0,36.3,32747.0,13393.0,870.0,40.3,6.3,,717.0,135.0,624.0
