Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Labor force status by presence of computer/ internet in HH
Irvington,260201,24510260201,"5,699",$36283.00,$20067.00,870,1530.00%,120.00%,2753.0,68.0,1374.0,600.0,35.9,814.0,4739.0,0.0,44.0,146.0,1714.0,698.0,1609.0,977.0,4134.0,588.0,4367.0
Belair Rd,260301,24510260301,"4,880",$43951.00,$16972.00,"1,630",3340.00%,560.00%,1816.0,273.0,782.0,202.0,27.4,290.0,4407.0,160.0,10.0,0.0,2360.0,928.0,645.0,1713.0,2847.0,320.0,3242.0
Belair Rd,260302,24510260302,"6,986",$33920.00,$16206.00,"2,332",3340.00%,720.00%,2329.0,506.0,1734.0,570.0,36.3,380.0,6433.0,41.0,186.0,0.0,3735.0,1463.0,1069.0,1821.0,4401.0,764.0,5461.0
Hamilton Lauraville,260303,24510260303,912,$17125.00,$18026.00,330,3620.00%,500.00%,278.0,46.0,197.0,37.0,40.3,232.0,623.0,29.0,38.0,0.0,241.0,104.0,312.0,214.0,624.0,74.0,707.0
Hamilton Lauraville,260401,24510260401,"3,710",$35750.00,$16463.00,910,2450.00%,570.00%,1417.0,211.0,674.0,145.0,31.9,2590.0,418.0,212.0,1403.0,83.0,1974.0,695.0,588.0,1307.0,2063.0,340.0,2481.0
E Monument St,260402,24510260402,"3,238",$41113.00,$19115.00,826,2550.00%,480.00%,1432.0,157.0,628.0,235.0,33.9,135.0,2928.0,103.0,0.0,0.0,1431.0,410.0,817.0,896.0,2080.0,262.0,2415.0
Highlandtown,260403,24510260403,"1,681",$32143.00,$21159.00,471,2800.00%,320.00%,818.0,53.0,381.0,130.0,27.5,141.0,1540.0,0.0,0.0,0.0,390.0,131.0,567.0,557.0,993.0,131.0,1163.0
Greektown,260501,24510260501,"5,509",$56038.00,$23693.00,627,1140.00%,240.00%,2763.0,131.0,1073.0,394.0,35.8,3395.0,624.0,265.0,1742.0,166.0,2496.0,1038.0,813.0,1230.0,3365.0,914.0,4306.0
Pimlico,260605,24510260605,"4,685",$42052.00,$20386.00,"1,395",2980.00%,490.00%,1720.0,231.0,850.0,245.0,36.1,2985.0,812.0,188.0,1545.0,54.0,2505.0,910.0,798.0,1397.0,2704.0,584.0,3344.0
Greektown,260700,24510260700,"2,884",$59479.00,$27921.00,437,1520.00%,130.00%,1483.0,38.0,308.0,343.0,31.0,1965.0,68.0,268.0,1295.0,24.0,1252.0,587.0,333.0,821.0,1894.0,169.0,2085.0
Highlandtown,260800,24510260800,"2,527",$41974.00,$26514.00,514,2030.00%,180.00%,1238.0,46.0,441.0,273.0,34.8,1858.0,448.0,13.0,1129.0,29.0,953.0,426.0,600.0,581.0,1686.0,260.0,1944.0
Highlandtown,260900,24510260900,"3,139",$104342.00,$61039.00,226,720.00%,160.00%,2317.0,49.0,259.0,1059.0,32.4,2698.0,254.0,111.0,137.0,66.0,1490.0,680.0,874.0,320.0,2541.0,278.0,2810.0
Highlandtown,261000,24510261000,"2,803",$51908.00,$24456.00,"1,031",3680.00%,250.00%,1223.0,70.0,370.0,147.0,33.1,1523.0,931.0,249.0,593.0,0.0,1619.0,581.0,418.0,848.0,1637.0,318.0,2018.0
Highlandtown,261100,24510261100,"1,792",$121000.00,$63780.00,136,760.00%,420.00%,1363.0,76.0,140.0,621.0,31.4,1574.0,114.0,37.0,52.0,55.0,1312.0,637.0,207.0,173.0,1518.0,101.0,1608.0
Hamilton Lauraville,270200,24510270200,"1,882",$74236.00,$34164.00,157,830.00%,530.00%,1045.0,100.0,226.0,309.0,41.0,947.0,776.0,102.0,65.0,7.0,1377.0,497.0,212.0,394.0,1267.0,221.0,1497.0
Hamilton Lauraville,270301,24510270301,"3,173",$65223.00,$30169.00,329,1040.00%,290.00%,1484.0,92.0,536.0,544.0,43.0,1113.0,1925.0,35.0,154.0,58.0,2128.0,923.0,224.0,624.0,2057.0,492.0,2430.0
Hamilton Lauraville,270302,24510270302,"1,916",$73967.00,$34028.00,307,1600.00%,490.00%,925.0,94.0,452.0,170.0,43.6,980.0,840.0,29.0,127.0,5.0,1397.0,480.0,185.0,336.0,1290.0,290.0,1593.0
Hamilton Lauraville,270401,24510270401,"5,625",$65098.00,$33153.00,421,750.00%,170.00%,2935.0,97.0,1179.0,655.0,39.0,1692.0,3585.0,321.0,64.0,27.0,4198.0,1606.0,462.0,1450.0,3687.0,488.0,4174.0
Hamilton Lauraville,270402,24510270402,"3,611",$79833.00,$27621.00,215,600.00%,190.00%,1691.0,68.0,483.0,469.0,35.5,1204.0,2213.0,130.0,87.0,63.0,3161.0,957.0,187.0,1052.0,2169.0,390.0,2693.0
Waverly,270502,24510270502,"4,261",$69500.00,$40502.00,463,1090.00%,520.00%,2325.0,221.0,751.0,749.0,43.4,1690.0,2437.0,44.0,48.0,68.0,3258.0,1244.0,566.0,921.0,2822.0,518.0,3459.0
Hamilton Lauraville,270600,24510270600,"4,980",$59375.00,$28365.00,598,1200.00%,520.00%,2571.0,257.0,911.0,562.0,37.4,1890.0,2950.0,140.0,38.0,0.0,3985.0,1455.0,377.0,1044.0,3275.0,661.0,3965.0
Pimlico,270702,24510270702,"1,955",$53532.00,$37004.00,147,750.00%,530.00%,1088.0,103.0,398.0,187.0,41.3,569.0,1300.0,80.0,35.0,6.0,921.0,393.0,509.0,350.0,1360.0,245.0,1658.0
Waverly,270703,24510270703,"2,629",$61199.00,$34521.00,247,940.00%,230.00%,1654.0,60.0,457.0,558.0,44.2,1594.0,967.0,4.0,99.0,12.0,1814.0,729.0,374.0,394.0,1944.0,291.0,2193.0
E Monument St,270802,24510270802,"5,205",$50354.00,$24120.00,730,1400.00%,490.00%,2481.0,255.0,1382.0,289.0,37.9,173.0,4611.0,122.0,263.0,34.0,1858.0,846.0,1326.0,1201.0,3233.0,771.0,4221.0
Penn Ave,270803,24510270803,"6,846",$51510.00,$27601.00,396,580.00%,470.00%,2994.0,323.0,1370.0,768.0,38.8,577.0,6057.0,87.0,65.0,82.0,3358.0,1064.0,1865.0,1459.0,4134.0,1253.0,5372.0
Waverly,270804,24510270804,"3,109",$56903.00,$39798.00,288,930.00%,470.00%,2155.0,147.0,525.0,405.0,40.6,1506.0,1479.0,32.0,435.0,92.0,1225.0,615.0,829.0,377.0,2352.0,380.0,2712.0
