Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Penn Ave,180200,24510180200,947,$25398.00,$20478.00,307,3240.00%,460.00%,367.0,44.0,152.0,77.0,44.6,108.0,816.0,11.0,35.0,12.0,330.0,115.0,262.0,127.0,616.0,204.0
Pigtown,180300,24510180300,"1,732",$50761.00,$34592.00,421,2430.00%,480.00%,1078.0,83.0,357.0,284.0,31.4,789.0,822.0,104.0,58.0,12.0,719.0,306.0,520.0,214.0,1448.0,70.0
North Ave,190300,24510190300,"2,158",$17925.00,$11154.00,"1,149",5320.00%,900.00%,511.0,195.0,365.0,34.0,30.0,697.0,1311.0,10.0,38.0,101.0,467.0,183.0,542.0,699.0,1255.0,204.0
E Monument St,200300,24510200300,"1,356",$20820.00,$13159.00,707,5210.00%,850.00%,349.0,115.0,285.0,36.0,31.2,316.0,829.0,102.0,67.0,27.0,317.0,114.0,365.0,351.0,930.0,75.0
Penn Ave,200600,24510200600,"2,311",$39159.00,$19781.00,309,1340.00%,840.00%,1009.0,193.0,557.0,72.0,32.9,485.0,1650.0,114.0,146.0,40.0,950.0,394.0,453.0,541.0,1528.0,242.0
North Ave,200701,24510200701,"4,797",$39208.00,$20051.00,"1,030",2150.00%,720.00%,1876.0,346.0,1024.0,194.0,35.7,99.0,4677.0,15.0,24.0,0.0,2193.0,882.0,916.0,1021.0,2992.0,784.0
Irvington,200702,24510200702,"1,026",$44830.00,$20681.00,257,2500.00%,210.00%,465.0,22.0,233.0,54.0,42.8,7.0,1019.0,0.0,0.0,0.0,514.0,241.0,152.0,255.0,629.0,142.0
Irvington,200800,24510200800,"2,170",$48922.00,$22176.00,458,2110.00%,310.00%,989.0,67.0,353.0,80.0,37.1,133.0,1934.0,40.0,82.0,0.0,1212.0,418.0,366.0,534.0,1377.0,259.0
Pigtown,210100,24510210100,"2,470",$72216.00,$36449.00,408,1650.00%,470.00%,1639.0,116.0,232.0,592.0,32.2,782.0,1584.0,34.0,19.0,70.0,1123.0,533.0,436.0,336.0,1954.0,180.0
Pigtown,210200,24510210200,"3,529",$45909.00,$29591.00,"1,139",3230.00%,440.00%,1627.0,154.0,503.0,473.0,33.6,1185.0,1764.0,238.0,330.0,94.0,1687.0,702.0,642.0,792.0,2417.0,320.0
Park Heights,230100,24510230100,"1,872",$74578.00,$43902.00,268,1430.00%,20.00%,1185.0,3.0,148.0,451.0,29.0,1035.0,772.0,14.0,54.0,28.0,605.0,282.0,548.0,350.0,1424.0,98.0
Hamilton Lauraville,230200,24510230200,"1,982",$107391.00,$63973.00,151,760.00%,90.00%,1500.0,17.0,72.0,593.0,30.7,1683.0,169.0,99.0,88.0,31.0,1030.0,539.0,443.0,174.0,1580.0,228.0
Penn Ave,240100,24510240100,"3,320",$142328.00,$90445.00,103,310.00%,230.00%,2341.0,77.0,125.0,1169.0,34.1,3010.0,63.0,31.0,153.0,109.0,2291.0,1066.0,536.0,526.0,2607.0,187.0
Irvington,240400,24510240400,"2,721",$110982.00,$53687.00,66,240.00%,140.00%,1846.0,39.0,258.0,882.0,30.8,2580.0,14.0,33.0,124.0,52.0,1627.0,695.0,461.0,365.0,2160.0,196.0
Penn Ave,250102,24510250102,"2,732",$50354.00,$25214.00,346,1270.00%,230.00%,1660.0,64.0,355.0,122.0,35.1,232.0,2446.0,36.0,80.0,18.0,1183.0,462.0,655.0,553.0,1869.0,310.0
Highlandtown,250103,24510250103,"3,378",$41307.00,$27656.00,593,1760.00%,260.00%,1523.0,87.0,854.0,225.0,45.4,1904.0,1172.0,95.0,164.0,151.0,1758.0,720.0,784.0,461.0,2129.0,788.0
Hampden,250203,24510250203,"1,940",$34873.00,$19857.00,449,2310.00%,270.00%,700.0,52.0,419.0,161.0,34.1,274.0,1626.0,0.0,31.0,40.0,424.0,221.0,497.0,610.0,1063.0,267.0
Pigtown,250301,24510250301,"2,303",$26581.00,$16952.00,948,4120.00%,610.00%,555.0,141.0,408.0,27.0,28.0,263.0,2040.0,0.0,137.0,0.0,619.0,274.0,523.0,897.0,1173.0,233.0
Brooklyn,250401,24510250401,"3,959",$47321.00,$19888.00,937,2370.00%,480.00%,1520.0,189.0,921.0,261.0,35.3,2267.0,942.0,155.0,901.0,301.0,1621.0,458.0,760.0,997.0,2575.0,387.0
Brooklyn,250402,24510250402,"4,614",$37451.00,$20522.00,"1,559",3380.00%,630.00%,1713.0,289.0,1073.0,205.0,32.7,1459.0,2392.0,384.0,565.0,0.0,1569.0,607.0,1061.0,1460.0,2870.0,284.0
Pimlico,260102,24510260102,"4,775",$62586.00,$25903.00,469,980.00%,320.00%,2366.0,151.0,1231.0,321.0,41.3,440.0,4254.0,0.0,94.0,60.0,3674.0,1384.0,323.0,1086.0,3057.0,632.0
Irvington,260201,24510260201,"5,901",$40996.00,$22485.00,958,1620.00%,130.00%,2678.0,78.0,967.0,451.0,35.3,871.0,4686.0,18.0,62.0,326.0,2346.0,798.0,1462.0,1212.0,3737.0,952.0
Belair Rd,260301,24510260301,"4,741",$49005.00,$19358.00,"1,561",3290.00%,370.00%,1903.0,175.0,928.0,205.0,27.3,255.0,4353.0,119.0,14.0,0.0,2379.0,973.0,547.0,1558.0,2782.0,401.0
Belair Rd,260302,24510260302,"6,634",$41280.00,$19844.00,"2,238",3370.00%,610.00%,2488.0,404.0,1897.0,369.0,38.6,489.0,5865.0,43.0,164.0,0.0,4181.0,1636.0,895.0,1538.0,4316.0,780.0
Hamilton Lauraville,260303,24510260303,969,$17000.00,$19562.00,377,3890.00%,210.00%,286.0,20.0,229.0,47.0,37.0,281.0,626.0,29.0,66.0,0.0,164.0,88.0,368.0,266.0,621.0,82.0
Hamilton Lauraville,260401,24510260401,"4,148",$40281.00,$16142.00,947,2280.00%,280.00%,1695.0,117.0,732.0,127.0,31.1,2525.0,710.0,278.0,1866.0,108.0,2006.0,638.0,577.0,1614.0,2236.0,298.0
E Monument St,260402,24510260402,"3,315",$38934.00,$18981.00,913,2750.00%,250.00%,1463.0,83.0,763.0,171.0,31.4,146.0,3052.0,59.0,0.0,0.0,1216.0,379.0,884.0,990.0,1882.0,443.0
Highlandtown,260403,24510260403,"1,764",$31625.00,$21744.00,436,2470.00%,190.00%,885.0,34.0,450.0,91.0,27.9,23.0,1741.0,0.0,0.0,0.0,306.0,119.0,622.0,586.0,1045.0,133.0
Greektown,260501,24510260501,"5,186",$57639.00,$24935.00,407,780.00%,80.00%,2570.0,44.0,863.0,542.0,37.5,3110.0,585.0,272.0,1610.0,122.0,2220.0,913.0,826.0,1151.0,3010.0,1025.0
Pimlico,260605,24510260605,"4,947",$41698.00,$19493.00,"1,444",2920.00%,610.00%,1789.0,300.0,993.0,214.0,36.2,3316.0,703.0,241.0,1722.0,40.0,2442.0,866.0,866.0,1465.0,2872.0,610.0
Greektown,260700,24510260700,"2,933",$83050.00,$33864.00,420,1430.00%,150.00%,1524.0,43.0,250.0,434.0,30.4,2232.0,68.0,287.0,1052.0,5.0,1324.0,649.0,322.0,818.0,1944.0,171.0
Highlandtown,260800,24510260800,"2,332",$40795.00,$26895.00,481,2060.00%,160.00%,1233.0,38.0,394.0,309.0,36.1,1748.0,310.0,10.0,970.0,35.0,751.0,415.0,580.0,456.0,1630.0,246.0
