Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Year
Hamilton Lauraville,230200,24510230200,1982.0,107391.0,63973.0,151.0,7.6,0.9,1500.0,17.0,72.0,593.0,30.7,1683.0,169.0,99.0,88.0,31.0,1030.0,539.0,443.0,174.0,1580.0,228.0,2019
Penn Ave,240100,24510240100,3320.0,142328.0,90445.0,103.0,3.1,2.3,2341.0,77.0,125.0,1169.0,34.1,3010.0,63.0,31.0,153.0,109.0,2291.0,1066.0,536.0,526.0,2607.0,187.0,2019
Irvington,240400,24510240400,2721.0,110982.0,53687.0,66.0,2.4,1.4,1846.0,39.0,258.0,882.0,30.8,2580.0,14.0,33.0,124.0,52.0,1627.0,695.0,461.0,365.0,2160.0,196.0,2019
Penn Ave,250102,24510250102,2732.0,50354.0,25214.0,346.0,12.7,2.3,1660.0,64.0,355.0,122.0,35.1,232.0,2446.0,36.0,80.0,18.0,1183.0,462.0,655.0,553.0,1869.0,310.0,2019
Highlandtown,250103,24510250103,3378.0,41307.0,27656.0,593.0,17.6,2.6,1523.0,87.0,854.0,225.0,45.4,1904.0,1172.0,95.0,164.0,151.0,1758.0,720.0,784.0,461.0,2129.0,788.0,2019
Hampden,250203,24510250203,1940.0,34873.0,19857.0,449.0,23.1,2.7,700.0,52.0,419.0,161.0,34.1,274.0,1626.0,0.0,31.0,40.0,424.0,221.0,497.0,610.0,1063.0,267.0,2019
Pigtown,250301,24510250301,2303.0,26581.0,16952.0,948.0,41.2,6.1,555.0,141.0,408.0,27.0,28.0,263.0,2040.0,0.0,137.0,0.0,619.0,274.0,523.0,897.0,1173.0,233.0,2019
Brooklyn,250401,24510250401,3959.0,47321.0,19888.0,937.0,23.7,4.8,1520.0,189.0,921.0,261.0,35.3,2267.0,942.0,155.0,901.0,301.0,1621.0,458.0,760.0,997.0,2575.0,387.0,2019
Brooklyn,250402,24510250402,4614.0,37451.0,20522.0,1559.0,33.8,6.3,1713.0,289.0,1073.0,205.0,32.7,1459.0,2392.0,384.0,565.0,0.0,1569.0,607.0,1061.0,1460.0,2870.0,284.0,2019
Pimlico,260102,24510260102,4775.0,62586.0,25903.0,469.0,9.8,3.2,2366.0,151.0,1231.0,321.0,41.3,440.0,4254.0,0.0,94.0,60.0,3674.0,1384.0,323.0,1086.0,3057.0,632.0,2019
Irvington,260201,24510260201,5901.0,40996.0,22485.0,958.0,16.2,1.3,2678.0,78.0,967.0,451.0,35.3,871.0,4686.0,18.0,62.0,326.0,2346.0,798.0,1462.0,1212.0,3737.0,952.0,2019
Belair Rd,260301,24510260301,4741.0,49005.0,19358.0,1561.0,32.9,3.7,1903.0,175.0,928.0,205.0,27.3,255.0,4353.0,119.0,14.0,0.0,2379.0,973.0,547.0,1558.0,2782.0,401.0,2019
Belair Rd,260302,24510260302,6634.0,41280.0,19844.0,2238.0,33.7,6.1,2488.0,404.0,1897.0,369.0,38.6,489.0,5865.0,43.0,164.0,0.0,4181.0,1636.0,895.0,1538.0,4316.0,780.0,2019
Hamilton Lauraville,260303,24510260303,969.0,17000.0,19562.0,377.0,38.9,2.1,286.0,20.0,229.0,47.0,37.0,281.0,626.0,29.0,66.0,0.0,164.0,88.0,368.0,266.0,621.0,82.0,2019
Hamilton Lauraville,260401,24510260401,4148.0,40281.0,16142.0,947.0,22.8,2.8,1695.0,117.0,732.0,127.0,31.1,2525.0,710.0,278.0,1866.0,108.0,2006.0,638.0,577.0,1614.0,2236.0,298.0,2019
E Monument St,260402,24510260402,3315.0,38934.0,18981.0,913.0,27.5,2.5,1463.0,83.0,763.0,171.0,31.4,146.0,3052.0,59.0,0.0,0.0,1216.0,379.0,884.0,990.0,1882.0,443.0,2019
Highlandtown,260403,24510260403,1764.0,31625.0,21744.0,436.0,24.7,1.9,885.0,34.0,450.0,91.0,27.9,23.0,1741.0,0.0,0.0,0.0,306.0,119.0,622.0,586.0,1045.0,133.0,2019
Greektown,260501,24510260501,5186.0,57639.0,24935.0,407.0,7.8,0.8,2570.0,44.0,863.0,542.0,37.5,3110.0,585.0,272.0,1610.0,122.0,2220.0,913.0,826.0,1151.0,3010.0,1025.0,2019
Pimlico,260605,24510260605,4947.0,41698.0,19493.0,1444.0,29.2,6.1,1789.0,300.0,993.0,214.0,36.2,3316.0,703.0,241.0,1722.0,40.0,2442.0,866.0,866.0,1465.0,2872.0,610.0,2019
Greektown,260700,24510260700,2933.0,83050.0,33864.0,420.0,14.3,1.5,1524.0,43.0,250.0,434.0,30.4,2232.0,68.0,287.0,1052.0,5.0,1324.0,649.0,322.0,818.0,1944.0,171.0,2019
Highlandtown,260800,24510260800,2332.0,40795.0,26895.0,481.0,20.6,1.6,1233.0,38.0,394.0,309.0,36.1,1748.0,310.0,10.0,970.0,35.0,751.0,415.0,580.0,456.0,1630.0,246.0,2019
Highlandtown,260900,24510260900,3359.0,109618.0,64704.0,335.0,10.0,0.7,2624.0,25.0,233.0,1163.0,31.2,2999.0,177.0,113.0,225.0,61.0,1402.0,634.0,1005.0,374.0,2784.0,201.0,2019
Highlandtown,261000,24510261000,2824.0,55221.0,26904.0,1077.0,38.1,2.9,1305.0,82.0,410.0,190.0,33.8,1265.0,1245.0,192.0,621.0,45.0,1625.0,540.0,441.0,872.0,1656.0,296.0,2019
Highlandtown,261100,24510261100,1813.0,133152.0,70157.0,123.0,6.8,4.1,1399.0,75.0,140.0,668.0,32.1,1578.0,108.0,52.0,70.0,64.0,1233.0,607.0,257.0,162.0,1550.0,101.0,2019
Hamilton Lauraville,270200,24510270200,1870.0,77792.0,37507.0,131.0,7.0,1.9,1147.0,35.0,230.0,348.0,42.0,970.0,864.0,17.0,94.0,0.0,1598.0,551.0,162.0,382.0,1249.0,239.0,2019
Hamilton Lauraville,270301,24510270301,3074.0,77977.0,34343.0,169.0,5.5,1.4,1554.0,42.0,477.0,547.0,44.6,1227.0,1665.0,63.0,134.0,74.0,2239.0,955.0,192.0,620.0,1908.0,546.0,2019
Hamilton Lauraville,270302,24510270302,1887.0,71500.0,36091.0,303.0,16.1,3.3,904.0,63.0,416.0,142.0,45.4,918.0,861.0,47.0,135.0,9.0,1474.0,516.0,178.0,316.0,1242.0,329.0,2019
Hamilton Lauraville,270401,24510270401,4892.0,59886.0,30636.0,453.0,9.3,1.5,2464.0,73.0,1098.0,587.0,38.9,1659.0,2890.0,343.0,52.0,0.0,3649.0,1449.0,471.0,1168.0,3177.0,547.0,2019
Hamilton Lauraville,270402,24510270402,3792.0,83160.0,28919.0,198.0,5.2,2.8,1733.0,105.0,388.0,539.0,35.9,1192.0,2345.0,138.0,99.0,63.0,3281.0,980.0,214.0,1135.0,2227.0,430.0,2019
Waverly,270502,24510270502,4229.0,75197.0,42730.0,387.0,9.2,3.8,2368.0,162.0,734.0,702.0,42.4,1621.0,2464.0,65.0,98.0,49.0,3291.0,1249.0,511.0,921.0,2740.0,568.0,2019
Hamilton Lauraville,270600,24510270600,5170.0,71847.0,30193.0,351.0,6.8,8.6,2790.0,444.0,950.0,581.0,36.2,1588.0,3423.0,159.0,40.0,0.0,4324.0,1443.0,374.0,961.0,3667.0,542.0,2019
Pimlico,270702,24510270702,1912.0,55285.0,40455.0,144.0,7.5,4.6,1116.0,87.0,433.0,209.0,41.8,533.0,1287.0,79.0,31.0,13.0,958.0,385.0,507.0,285.0,1397.0,230.0,2019
Waverly,270703,24510270703,2996.0,67895.0,35171.0,232.0,7.7,2.9,1794.0,87.0,520.0,509.0,44.5,1605.0,1364.0,3.0,65.0,5.0,2060.0,751.0,417.0,496.0,2136.0,364.0,2019
E Monument St,270802,24510270802,5154.0,47566.0,24265.0,951.0,18.5,7.4,2244.0,380.0,998.0,459.0,37.2,129.0,4635.0,116.0,234.0,38.0,1852.0,785.0,1382.0,1151.0,3331.0,672.0,2019
Penn Ave,270803,24510270803,6367.0,50686.0,29274.0,331.0,5.2,4.9,2874.0,310.0,1308.0,845.0,43.3,396.0,5675.0,122.0,35.0,123.0,3025.0,1030.0,1908.0,1169.0,3928.0,1270.0,2019
Waverly,270804,24510270804,2990.0,55750.0,39424.0,386.0,12.9,2.3,1964.0,70.0,430.0,492.0,41.0,1672.0,1179.0,24.0,410.0,115.0,1212.0,573.0,787.0,319.0,2248.0,423.0,2019
Hampden,270805,24510270805,5584.0,58441.0,30218.0,579.0,10.4,5.2,2781.0,290.0,1210.0,588.0,37.3,628.0,4632.0,176.0,147.0,74.0,4065.0,1514.0,458.0,1225.0,3518.0,841.0,2019
Pigtown,270901,24510270901,4525.0,53120.0,33585.0,289.0,6.4,3.8,2396.0,170.0,1341.0,192.0,34.3,200.0,4157.0,168.0,127.0,0.0,2467.0,888.0,824.0,878.0,2953.0,694.0,2019
Belair Rd,270902,24510270902,5091.0,64028.0,22780.0,323.0,6.3,4.3,1965.0,218.0,811.0,461.0,31.3,271.0,4453.0,214.0,86.0,33.0,3074.0,1219.0,206.0,669.0,3468.0,954.0,2019
Penn Ave,270903,24510270903,5241.0,49327.0,23229.0,436.0,8.3,4.2,1969.0,218.0,546.0,396.0,22.3,1168.0,3784.0,127.0,583.0,117.0,1479.0,732.0,549.0,538.0,4291.0,412.0,2019
Hamilton Lauraville,271002,24510271002,4250.0,40147.0,20655.0,1622.0,38.2,5.6,1420.0,237.0,696.0,374.0,35.6,247.0,3924.0,73.0,212.0,0.0,2577.0,972.0,526.0,1299.0,2234.0,717.0,2019
Highlandtown,271101,24510271101,1928.0,51765.0,38503.0,413.0,21.4,3.5,934.0,67.0,285.0,304.0,45.0,1015.0,636.0,64.0,11.0,177.0,871.0,361.0,519.0,300.0,1363.0,265.0,2019
Hampden,271102,24510271102,4597.0,195156.0,30978.0,18.0,0.4,1.4,1477.0,65.0,76.0,216.0,20.5,2899.0,1023.0,278.0,244.0,339.0,1156.0,426.0,15.0,293.0,4052.0,252.0,2019
E Monument St,271200,24510271200,6282.0,165443.0,72260.0,359.0,5.7,0.6,3140.0,39.0,481.0,1193.0,42.8,5110.0,563.0,253.0,133.0,341.0,5180.0,1784.0,359.0,1559.0,3677.0,1046.0,2019
Greektown,271300,24510271300,2455.0,154313.0,94818.0,36.0,1.5,0.9,1554.0,21.0,37.0,611.0,40.9,2066.0,124.0,32.0,82.0,207.0,1787.0,714.0,323.0,535.0,1470.0,450.0,2019
Hamilton Lauraville,271400,24510271400,4015.0,133333.0,76059.0,234.0,5.8,1.2,1995.0,48.0,132.0,570.0,38.5,3207.0,260.0,151.0,289.0,322.0,2668.0,1019.0,421.0,794.0,2464.0,757.0,2019
Belair Rd,271501,24510271501,4161.0,104375.0,56716.0,269.0,6.5,2.2,2110.0,93.0,182.0,763.0,38.7,3265.0,690.0,82.0,206.0,77.0,2902.0,1119.0,646.0,1034.0,2426.0,701.0,2019
E Monument St,271503,24510271503,876.0,56490.0,70175.0,38.0,4.3,1.6,399.0,14.0,66.0,273.0,62.8,617.0,114.0,26.0,29.0,104.0,675.0,512.0,165.0,62.0,425.0,389.0,2019
Park Heights,271600,24510271600,4066.0,31361.0,19067.0,1135.0,27.9,8.4,1316.0,341.0,1217.0,264.0,38.8,133.0,3788.0,43.0,31.0,76.0,1790.0,542.0,895.0,711.0,2443.0,912.0,2019
Pimlico,271700,24510271700,4624.0,39432.0,24618.0,707.0,15.3,9.6,1556.0,444.0,1224.0,248.0,52.0,249.0,4234.0,63.0,21.0,61.0,2247.0,802.0,1001.0,601.0,2602.0,1421.0,2019
Pimlico,271801,24510271801,2700.0,26817.0,22357.0,986.0,36.5,9.4,986.0,254.0,547.0,122.0,47.9,39.0,2567.0,38.0,19.0,10.0,1555.0,663.0,580.0,422.0,1598.0,680.0,2019
Pimlico,271802,24510271802,2290.0,33156.0,16899.0,652.0,28.5,3.5,844.0,80.0,641.0,145.0,43.8,15.0,2211.0,45.0,21.0,0.0,1009.0,425.0,406.0,524.0,1320.0,446.0,2019
Pimlico,271900,24510271900,3794.0,51938.0,34173.0,643.0,16.9,5.2,1505.0,196.0,706.0,717.0,49.7,812.0,2914.0,11.0,0.0,48.0,2687.0,1045.0,470.0,597.0,2206.0,991.0,2019
Penn Ave,280101,24510280101,3401.0,45855.0,21093.0,987.0,29.0,5.7,1473.0,195.0,635.0,240.0,37.3,206.0,3139.0,35.0,124.0,0.0,1314.0,580.0,657.0,822.0,2172.0,407.0,2019
Highlandtown,280102,24510280102,6231.0,50798.0,25022.0,1279.0,20.5,4.7,2170.0,291.0,1114.0,672.0,49.7,161.0,6070.0,0.0,113.0,0.0,4015.0,1577.0,957.0,1065.0,3886.0,1280.0,2019
Waverly,280302,24510280302,2538.0,44423.0,24760.0,519.0,20.4,4.9,1179.0,124.0,496.0,188.0,31.8,107.0,2201.0,209.0,15.0,12.0,834.0,314.0,708.0,606.0,1677.0,255.0,2019
Pimlico,280401,24510280401,3269.0,46493.0,31029.0,350.0,10.7,2.0,1635.0,65.0,571.0,496.0,48.5,473.0,2669.0,111.0,23.0,16.0,2351.0,972.0,501.0,583.0,2099.0,587.0,2019
Pigtown,280402,24510280402,1632.0,48750.0,23395.0,262.0,16.1,5.2,662.0,85.0,369.0,185.0,42.4,2.0,1601.0,1.0,28.0,0.0,1269.0,512.0,105.0,316.0,967.0,349.0,2019
Belair Rd,280403,24510280403,5468.0,57973.0,34384.0,263.0,4.8,1.7,3032.0,95.0,783.0,372.0,36.4,1264.0,4033.0,100.0,63.0,32.0,2692.0,898.0,1307.0,1247.0,3677.0,544.0,2019
E Monument St,280404,24510280404,2631.0,39233.0,23113.0,613.0,23.3,3.7,1058.0,97.0,609.0,175.0,32.2,123.0,2356.0,134.0,107.0,0.0,1153.0,442.0,655.0,597.0,1573.0,461.0,2019
Highlandtown,10200,24510010200,2869.0,107617.0,56058.0,169.0,5.9,1.0,2100.0,30.0,199.0,1030.0,32.0,2593.0,107.0,53.0,69.0,107.0,2332.0,1103.0,290.0,340.0,2300.0,229.0,2020
Brooklyn,20300,24510020300,3877.0,108516.0,87413.0,359.0,9.3,1.4,2912.0,56.0,267.0,1112.0,35.5,3195.0,89.0,229.0,265.0,364.0,1687.0,793.0,1350.0,243.0,3317.0,317.0,2020
E Monument St,40100,24510040100,4404.0,62500.0,49876.0,870.0,19.8,1.5,2863.0,65.0,219.0,1365.0,28.3,2167.0,894.0,243.0,380.0,913.0,270.0,193.0,2403.0,412.0,3887.0,105.0,2020
Hamilton Lauraville,40200,24510040200,901.0,34375.0,16596.0,66.0,7.3,1.9,367.0,17.0,29.0,139.0,23.9,378.0,311.0,55.0,26.0,123.0,0.0,0.0,228.0,18.0,872.0,11.0,2020
E Monument St,60200,24510060200,3241.0,72465.0,32023.0,864.0,26.7,4.5,1681.0,145.0,381.0,496.0,31.4,1621.0,1370.0,96.0,430.0,58.0,1574.0,534.0,545.0,836.0,2226.0,179.0,2020
E Monument St,60300,24510060300,1865.0,68088.0,36889.0,321.0,17.2,3.1,1061.0,58.0,159.0,281.0,31.9,910.0,756.0,106.0,207.0,82.0,828.0,386.0,364.0,415.0,1309.0,141.0,2020
Waverly,60400,24510060400,1376.0,55368.0,41278.0,197.0,14.3,1.1,711.0,15.0,176.0,252.0,37.0,447.0,764.0,53.0,82.0,105.0,385.0,198.0,563.0,189.0,999.0,188.0,2020
E Monument St,70100,24510070100,2565.0,39602.0,15387.0,939.0,36.6,5.7,806.0,145.0,490.0,92.0,27.6,184.0,2168.0,15.0,363.0,0.0,857.0,305.0,444.0,886.0,1421.0,258.0,2020
E Monument St,70200,24510070200,3028.0,32000.0,17596.0,1233.0,40.7,10.3,1000.0,313.0,585.0,43.0,29.9,92.0,2923.0,13.0,151.0,0.0,824.0,290.0,700.0,800.0,1931.0,297.0,2020
E Monument St,70300,24510070300,856.0,29261.0,18544.0,367.0,42.9,5.4,309.0,46.0,252.0,15.0,36.8,96.0,660.0,0.0,135.0,0.0,285.0,115.0,192.0,181.0,590.0,85.0,2020
E Monument St,70400,24510070400,1546.0,18977.0,15621.0,687.0,44.4,5.4,597.0,83.0,218.0,226.0,28.7,117.0,1291.0,9.0,29.0,129.0,120.0,45.0,710.0,357.0,997.0,192.0,2020
Belair Rd,80101,24510080101,3976.0,63542.0,33522.0,526.0,13.2,4.0,1784.0,160.0,887.0,495.0,35.2,1266.0,2454.0,200.0,71.0,30.0,2291.0,834.0,455.0,1142.0,2544.0,290.0,2020
Belair Rd,80102,24510080102,2105.0,33711.0,15454.0,770.0,36.6,7.6,771.0,160.0,588.0,71.0,37.2,61.0,2025.0,7.0,5.0,12.0,851.0,328.0,398.0,538.0,1410.0,157.0,2020
Hampden,80200,24510080200,1274.0,29485.0,17760.0,331.0,26.0,7.3,436.0,93.0,270.0,34.0,40.5,57.0,1217.0,0.0,0.0,0.0,646.0,210.0,297.0,270.0,765.0,239.0,2020
E Monument St,80301,24510080301,1696.0,37574.0,19092.0,448.0,26.4,9.8,587.0,167.0,399.0,40.0,41.8,39.0,1583.0,0.0,94.0,9.0,684.0,275.0,306.0,403.0,1046.0,247.0,2020
E Monument St,80400,24510080400,1280.0,30096.0,15341.0,574.0,44.8,10.0,435.0,128.0,275.0,111.0,36.6,230.0,1037.0,13.0,95.0,0.0,346.0,134.0,267.0,344.0,810.0,126.0,2020
E Monument St,80800,24510080800,1546.0,38304.0,15394.0,564.0,36.5,5.2,413.0,81.0,208.0,53.0,17.8,80.0,1407.0,7.0,65.0,0.0,336.0,108.0,351.0,784.0,711.0,51.0,2020
E Monument St,90100,24510090100,4136.0,45962.0,24731.0,943.0,22.8,5.7,1949.0,234.0,981.0,230.0,42.2,539.0,3490.0,91.0,100.0,5.0,2378.0,915.0,713.0,773.0,2672.0,691.0,2020
Waverly,90300,24510090300,4442.0,42206.0,26426.0,1125.0,25.3,6.6,1882.0,291.0,550.0,671.0,41.1,1007.0,3325.0,68.0,149.0,31.0,2135.0,925.0,957.0,821.0,2759.0,862.0,2020
Waverly,90400,24510090400,1784.0,30125.0,13906.0,674.0,37.8,4.0,742.0,71.0,399.0,83.0,32.6,201.0,1448.0,73.0,182.0,2.0,363.0,145.0,514.0,539.0,1127.0,118.0,2020
Waverly,90500,24510090500,1865.0,42296.0,21747.0,352.0,18.9,4.5,841.0,84.0,508.0,132.0,37.3,368.0,1264.0,182.0,9.0,51.0,1070.0,360.0,320.0,438.0,1249.0,178.0,2020
North Ave,90800,24510090800,2902.0,35808.0,16305.0,938.0,32.3,14.2,854.0,411.0,510.0,140.0,43.6,51.0,2702.0,138.0,0.0,11.0,1752.0,513.0,433.0,484.0,1897.0,521.0,2020
Belair Rd,100200,24510100200,2722.0,13074.0,10882.0,1135.0,41.7,4.3,637.0,116.0,311.0,48.0,31.1,75.0,2621.0,18.0,29.0,0.0,191.0,102.0,952.0,682.0,1834.0,206.0,2020
Waverly,110100,24510110100,3141.0,55216.0,45165.0,403.0,12.8,1.3,2686.0,41.0,72.0,1211.0,29.8,1785.0,795.0,158.0,171.0,372.0,526.0,316.0,1683.0,62.0,2952.0,127.0,2020
Penn Ave,110200,24510110200,5706.0,45406.0,46233.0,1072.0,18.8,2.6,3854.0,149.0,268.0,1479.0,32.4,3533.0,1143.0,452.0,319.0,373.0,1044.0,522.0,3213.0,157.0,4647.0,902.0,2020
Park Heights,120100,24510120100,4643.0,65313.0,64313.0,884.0,19.0,4.0,2169.0,188.0,227.0,938.0,40.2,2798.0,438.0,242.0,275.0,1056.0,2498.0,1183.0,1157.0,508.0,2959.0,1176.0,2020
Waverly,120201,24510120201,2217.0,82917.0,49593.0,345.0,15.6,2.8,1347.0,62.0,68.0,547.0,31.2,1603.0,404.0,102.0,75.0,95.0,1106.0,490.0,353.0,289.0,1731.0,197.0,2020
Waverly,120202,24510120202,5975.0,36435.0,16907.0,1078.0,18.0,2.9,2271.0,173.0,60.0,804.0,21.5,3361.0,633.0,402.0,444.0,1485.0,673.0,313.0,1325.0,159.0,5626.0,190.0,2020
Waverly,120300,24510120300,4220.0,52857.0,30352.0,1095.0,25.9,5.3,2290.0,223.0,508.0,772.0,33.0,1547.0,2139.0,293.0,126.0,187.0,1797.0,636.0,994.0,722.0,3252.0,246.0,2020
Penn Ave,120400,24510120400,1743.0,38507.0,27496.0,630.0,36.1,3.9,756.0,68.0,291.0,193.0,31.3,434.0,1283.0,0.0,60.0,12.0,448.0,190.0,477.0,415.0,1210.0,118.0,2020
Penn Ave,120700,24510120700,2259.0,65068.0,35757.0,183.0,8.1,8.1,1399.0,183.0,498.0,429.0,34.9,1633.0,471.0,47.0,159.0,64.0,1186.0,580.0,458.0,250.0,1868.0,141.0,2020
E Monument St,130100,24510130100,2728.0,24639.0,25898.0,980.0,35.9,4.2,1181.0,114.0,525.0,324.0,39.7,441.0,2145.0,79.0,64.0,1.0,773.0,300.0,1159.0,411.0,1978.0,339.0,2020
Penn Ave,130300,24510130300,2447.0,35952.0,19624.0,882.0,36.0,4.5,796.0,111.0,479.0,187.0,34.3,117.0,2292.0,0.0,13.0,38.0,1040.0,359.0,447.0,788.0,1382.0,277.0,2020
Brooklyn,130400,24510130400,2056.0,28750.0,18544.0,734.0,35.7,6.9,737.0,141.0,561.0,114.0,39.2,139.0,1817.0,0.0,82.0,7.0,847.0,311.0,466.0,472.0,1394.0,190.0,2020
Hampden,130600,24510130600,3578.0,95500.0,51361.0,423.0,11.8,2.0,2588.0,71.0,175.0,1080.0,33.8,3073.0,255.0,104.0,98.0,130.0,2113.0,977.0,661.0,349.0,2999.0,230.0,2020
Hampden,130700,24510130700,4757.0,58815.0,45502.0,369.0,7.8,2.4,2709.0,113.0,596.0,1073.0,38.2,4151.0,259.0,115.0,183.0,216.0,2430.0,1130.0,1315.0,555.0,2953.0,1249.0,2020
Hampden,130804,24510130804,1982.0,67019.0,39191.0,290.0,14.6,5.0,1325.0,99.0,226.0,422.0,32.4,1784.0,150.0,0.0,66.0,38.0,1025.0,473.0,434.0,249.0,1580.0,153.0,2020
Penn Ave,140200,24510140200,2467.0,28000.0,14858.0,1080.0,43.8,2.3,811.0,57.0,314.0,81.0,22.0,130.0,2285.0,52.0,15.0,0.0,660.0,175.0,607.0,1068.0,1166.0,233.0,2020
Penn Ave,140300,24510140300,2353.0,38194.0,21930.0,735.0,31.2,2.1,959.0,49.0,522.0,119.0,34.0,111.0,2136.0,27.0,37.0,39.0,796.0,292.0,639.0,623.0,1407.0,323.0,2020
Penn Ave,150100,24510150100,2192.0,17346.0,17457.0,1113.0,50.8,6.8,631.0,150.0,484.0,51.0,40.2,29.0,2103.0,34.0,0.0,26.0,1084.0,343.0,605.0,518.0,1291.0,383.0,2020
Pigtown,150400,24510150400,3983.0,35479.0,14726.0,715.0,18.0,5.1,1514.0,205.0,732.0,240.0,32.9,27.0,3775.0,125.0,30.0,36.0,1075.0,400.0,820.0,539.0,2851.0,593.0,2020
North Ave,150600,24510150600,3129.0,30529.0,16389.0,1217.0,38.9,11.4,1142.0,358.0,577.0,71.0,36.5,105.0,2997.0,27.0,0.0,0.0,1222.0,339.0,666.0,662.0,2117.0,350.0,2020
North Ave,150702,24510150702,2164.0,41471.0,25251.0,522.0,24.1,5.8,869.0,125.0,511.0,297.0,41.1,22.0,2086.0,48.0,2.0,0.0,1289.0,565.0,261.0,384.0,1413.0,367.0,2020
Penn Ave,150800,24510150800,5202.0,36853.0,23774.0,1193.0,22.9,6.2,1884.0,320.0,1423.0,412.0,39.4,39.0,5018.0,92.0,70.0,0.0,3055.0,859.0,1003.0,1115.0,3284.0,803.0,2020
Park Heights,151300,24510151300,4127.0,29816.0,15081.0,1151.0,27.9,8.1,1462.0,334.0,1001.0,161.0,40.2,293.0,3670.0,133.0,227.0,28.0,1407.0,496.0,1013.0,881.0,2818.0,428.0,2020
Penn Ave,160100,24510160100,2068.0,26557.0,17799.0,647.0,31.3,4.1,794.0,85.0,425.0,72.0,48.3,45.0,1985.0,12.0,20.0,6.0,726.0,243.0,676.0,468.0,1291.0,309.0,2020
Penn Ave,160200,24510160200,2189.0,26792.0,16662.0,875.0,40.0,5.1,732.0,112.0,527.0,37.0,28.1,16.0,2159.0,9.0,25.0,0.0,799.0,294.0,531.0,774.0,1154.0,261.0,2020
Penn Ave,160400,24510160400,2331.0,26552.0,12758.0,1096.0,47.0,4.9,764.0,114.0,460.0,23.0,30.5,33.0,2259.0,12.0,0.0,4.0,683.0,277.0,393.0,806.0,1261.0,264.0,2020
Pimlico,160600,24510160600,3403.0,40038.0,20860.0,1003.0,29.5,2.2,1308.0,75.0,873.0,194.0,38.9,73.0,3190.0,31.0,69.0,17.0,1543.0,472.0,648.0,832.0,2198.0,373.0,2020
Pigtown,160700,24510160700,4324.0,36346.0,17660.0,1464.0,33.9,6.7,1736.0,290.0,1065.0,234.0,31.8,28.0,4278.0,18.0,44.0,0.0,1718.0,640.0,866.0,1092.0,2758.0,474.0,2020
Waverly,170100,24510170100,1634.0,30702.0,26136.0,380.0,23.3,2.5,903.0,41.0,152.0,234.0,34.7,496.0,1088.0,13.0,40.0,16.0,206.0,118.0,808.0,214.0,1241.0,179.0,2020
Penn Ave,170200,24510170200,2971.0,13643.0,10173.0,1547.0,52.1,4.4,840.0,132.0,586.0,93.0,27.9,196.0,2654.0,72.0,7.0,49.0,265.0,57.0,1288.0,988.0,1608.0,375.0,2020
Penn Ave,170300,24510170300,1699.0,20880.0,23575.0,605.0,35.6,5.1,710.0,87.0,192.0,141.0,38.1,27.0,1568.0,42.0,42.0,45.0,561.0,274.0,515.0,337.0,1110.0,252.0,2020
Greektown,180100,24510180100,2025.0,14583.0,10228.0,1102.0,54.4,7.8,588.0,157.0,458.0,14.0,28.2,7.0,1991.0,0.0,20.0,0.0,180.0,92.0,859.0,676.0,1177.0,172.0,2020
Penn Ave,180200,24510180200,948.0,20938.0,20325.0,298.0,31.4,6.2,368.0,59.0,138.0,70.0,39.9,108.0,816.0,11.0,33.0,13.0,303.0,96.0,269.0,160.0,592.0,196.0,2020
Pigtown,180300,24510180300,1525.0,37273.0,34495.0,471.0,30.9,3.2,1020.0,49.0,280.0,220.0,30.3,589.0,836.0,63.0,55.0,37.0,540.0,279.0,493.0,152.0,1348.0,25.0,2020
North Ave,190300,24510190300,2502.0,23750.0,12517.0,1027.0,41.0,5.5,711.0,138.0,457.0,93.0,29.1,613.0,1482.0,10.0,294.0,102.0,480.0,203.0,615.0,780.0,1519.0,203.0,2020
E Monument St,200300,24510200300,1517.0,23542.0,13010.0,646.0,42.6,8.2,368.0,124.0,257.0,56.0,29.7,366.0,907.0,130.0,53.0,23.0,364.0,118.0,379.0,491.0,931.0,95.0,2020
Penn Ave,200600,24510200600,2292.0,31991.0,18070.0,379.0,16.5,9.3,932.0,214.0,569.0,58.0,34.3,645.0,1477.0,150.0,87.0,0.0,1083.0,446.0,355.0,507.0,1500.0,285.0,2020
North Ave,200701,24510200701,4905.0,36164.0,18691.0,1225.0,25.0,10.9,1642.0,534.0,1027.0,118.0,35.9,108.0,4775.0,16.0,96.0,0.0,2111.0,870.0,938.0,1134.0,2948.0,823.0,2020
Irvington,200702,24510200702,1089.0,42179.0,17836.0,350.0,32.1,2.3,458.0,25.0,270.0,39.0,46.0,21.0,1057.0,11.0,0.0,0.0,678.0,267.0,130.0,275.0,633.0,181.0,2020
Irvington,200800,24510200800,2128.0,40789.0,19553.0,564.0,26.5,4.0,794.0,85.0,380.0,102.0,37.9,186.0,1841.0,49.0,70.0,0.0,1210.0,448.0,342.0,551.0,1328.0,249.0,2020
