Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Year
E Monument St,271503,24510271503,863.0,71848.0,75009.0,47.0,5.4,1.7,458.0,15.0,46.0,249.0,62.8,758.0,35.0,10.0,19.0,47.0,736.0,535.0,97.0,31.0,470.0,362.0,2017
Park Heights,271600,24510271600,4693.0,28161.0,17808.0,1523.0,32.5,8.7,1363.0,406.0,1281.0,226.0,40.7,105.0,4557.0,23.0,23.0,8.0,2151.0,688.0,913.0,918.0,2958.0,817.0,2017
Pimlico,271700,24510271700,5066.0,40694.0,21071.0,912.0,18.0,7.2,1823.0,367.0,1438.0,272.0,48.9,225.0,4796.0,23.0,6.0,22.0,2539.0,841.0,986.0,591.0,3209.0,1266.0,2017
Pimlico,271801,24510271801,2960.0,26938.0,23099.0,933.0,31.5,8.3,1073.0,245.0,727.0,73.0,45.1,45.0,2770.0,72.0,48.0,12.0,1721.0,662.0,612.0,479.0,1791.0,690.0,2017
Pimlico,271802,24510271802,2543.0,29688.0,14500.0,819.0,32.2,3.9,857.0,99.0,702.0,94.0,43.7,7.0,2497.0,39.0,6.0,0.0,1030.0,406.0,509.0,574.0,1588.0,381.0,2017
Pimlico,271900,24510271900,4012.0,52200.0,28308.0,841.0,21.0,3.9,1526.0,156.0,700.0,672.0,44.5,983.0,2947.0,24.0,0.0,35.0,2806.0,1019.0,457.0,816.0,2284.0,912.0,2017
Penn Ave,280101,24510280101,3763.0,45458.0,30501.0,1155.0,30.7,2.4,1631.0,92.0,888.0,223.0,39.5,326.0,3320.0,50.0,125.0,0.0,1566.0,626.0,772.0,877.0,2459.0,427.0,2017
Highlandtown,280102,24510280102,6292.0,47527.0,21272.0,1148.0,18.2,3.4,2212.0,215.0,1214.0,684.0,51.0,164.0,6128.0,0.0,67.0,0.0,3684.0,1409.0,956.0,1039.0,3665.0,1588.0,2017
Waverly,280302,24510280302,2492.0,42005.0,28360.0,617.0,24.8,6.1,1223.0,152.0,558.0,190.0,33.8,120.0,2347.0,19.0,15.0,6.0,935.0,324.0,691.0,611.0,1615.0,266.0,2017
Pimlico,280401,24510280401,3606.0,51309.0,28064.0,400.0,11.1,3.8,1694.0,137.0,563.0,508.0,44.8,581.0,2857.0,155.0,60.0,0.0,2305.0,926.0,573.0,701.0,2300.0,605.0,2017
Pigtown,280402,24510280402,1657.0,40781.0,19845.0,133.0,8.0,5.1,703.0,84.0,382.0,84.0,39.5,10.0,1602.0,1.0,8.0,0.0,1133.0,452.0,178.0,305.0,970.0,382.0,2017
Belair Rd,280403,24510280403,5431.0,60061.0,35590.0,395.0,7.3,4.4,2911.0,240.0,1038.0,511.0,35.4,1595.0,3728.0,38.0,167.0,43.0,2585.0,988.0,1236.0,1201.0,3592.0,638.0,2017
E Monument St,280404,24510280404,2519.0,39479.0,22909.0,485.0,19.3,5.2,1245.0,131.0,671.0,106.0,32.0,106.0,2271.0,142.0,112.0,0.0,1127.0,389.0,572.0,590.0,1557.0,372.0,2017
Highlandtown,10200,24510010200,2869.0,107617.0,56058.0,169.0,5.9,1.0,2100.0,30.0,199.0,1030.0,32.0,2593.0,107.0,53.0,69.0,107.0,2332.0,1103.0,290.0,340.0,2300.0,229.0,2018
Brooklyn,20300,24510020300,3877.0,108516.0,87413.0,359.0,9.3,1.4,2912.0,56.0,267.0,1112.0,35.5,3195.0,89.0,229.0,265.0,364.0,1687.0,793.0,1350.0,243.0,3317.0,317.0,2018
E Monument St,40100,24510040100,4404.0,62500.0,49876.0,870.0,19.8,1.5,2863.0,65.0,219.0,1365.0,28.3,2167.0,894.0,243.0,380.0,913.0,270.0,193.0,2403.0,412.0,3887.0,105.0,2018
